iter	Passed	Remaining
934	27056	1880
935	27083	1851
936	27117	1823
937	27147	1794
938	27174	1765
939	27201	1736
940	27229	1707
941	27260	1678
942	27289	1649
943	27318	1620
944	27348	1591
945	27378	1562
946	27407	1533
947	27434	1504
948	27463	1475
949	27492	1446
950	27520	1418
951	27549	1389
952	27576	1360
953	27605	1331
954	27634	1302
955	27663	1273
956	27693	1244
957	27725	1215
958	27754	1186
959	27784	1157
960	27814	1128
961	27846	1099
962	27873	1070
963	27904	1042
964	27932	1013
965	27959	984
966	27991	955
967	28021	926
968	28055	897
969	28085	868
970	28117	839
971	28150	810
972	28180	781
973	28215	753
974	28244	724
975	28272	695
976	28299	666
977	28326	637
978	28353	608
979	28385	579
980	28417	550
981	28447	521
982	28473	492
983	28501	463
984	28531	434
985	28562	405
986	28592	376
987	28621	347
988	28646	318
989	28675	289
990	28702	260
991	28731	231
992	28762	202
993	28794	173
994	28825	144
995	28859	115
996	28889	86
997	28917	57
998	28948	28
999	28978	0
