iter	RMSE
869	0.3923745858
870	0.3923091396
871	0.3922126867
872	0.3921716252
873	0.3921056995
874	0.392054311
875	0.3919802409
876	0.3919279155
877	0.3918830163
878	0.3918184491
879	0.39175984
880	0.3917088278
881	0.3916638871
882	0.3916196062
883	0.3915686944
884	0.3914954474
885	0.3914629835
886	0.3913969354
887	0.3913573783
888	0.3912974906
889	0.3912034324
890	0.3911443541
891	0.391075147
892	0.3910421412
893	0.3909834997
894	0.3909115273
895	0.3908615316
896	0.3907983458
897	0.3907445641
898	0.3907040171
899	0.3906458784
900	0.3905776396
901	0.3905053694
902	0.3904679421
903	0.3904050973
904	0.3903715431
905	0.3902864279
906	0.3902407605
907	0.390176551
908	0.3901291371
909	0.3900753715
910	0.390021124
911	0.3899541398
912	0.3899255326
913	0.3898823881
914	0.3897937742
915	0.3897210505
916	0.3896681245
917	0.3895929844
918	0.389544231
919	0.3894534034
920	0.3894011859
921	0.3893390249
922	0.3892952462
923	0.3892285003
924	0.3891803398
925	0.389110881
926	0.3890452728
927	0.388995442
928	0.3889191698
929	0.3888306126
930	0.3887764498
931	0.3887487481
932	0.3886911714
933	0.3886301156
934	0.3885627333
935	0.3885046116
936	0.3884536259
937	0.3883866262
938	0.388329637
939	0.3882883681
940	0.3882051006
941	0.3881403155
942	0.388062295
943	0.3879718775
944	0.3879231136
945	0.3878934762
946	0.387833489
947	0.3877768537
948	0.3877084688
949	0.3876225591
950	0.3875700951
951	0.3875252511
952	0.3874882923
953	0.3874425915
954	0.3873748614
955	0.3873267018
956	0.3872685228
957	0.3872272098
958	0.3871834534
959	0.3871296318
960	0.3870879263
961	0.3870358566
962	0.3869803491
963	0.3869381255
964	0.3868939203
965	0.3868563834
966	0.3867808422
967	0.3867366144
968	0.3866854912
969	0.3866177507
970	0.386578944
971	0.3865277103
972	0.3864337445
973	0.3863556672
974	0.3863108541
975	0.3862594811
976	0.3862173221
977	0.3861480225
978	0.386099551
979	0.3860589564
980	0.3859797825
981	0.3859440617
982	0.3859028668
983	0.3858332123
984	0.3857711856
985	0.3857391985
986	0.3856331504
987	0.3854166351
988	0.3853743446
989	0.3853385554
990	0.3852639878
991	0.3852156592
992	0.3851851134
993	0.3851391077
994	0.3849489388
995	0.3849069539
996	0.3848310599
997	0.3847860237
998	0.3847295613
999	0.3846846759
